id_hash;funding_references;funding_phrases;funding_types;comment
94c9ca4bbdcfb607618ddd64d80078c7;Kurzzusammenfassung > Volltext;Die Höhe des Zuschusses beträgt bis zu 90 Prozent der zuwendungsfähigen Gesamtausgaben.;share;
94c9ca4bbdcfb607618ddd64d80078c7;Rechtsgrundlage > 5 Verfahren;Bei Bewilligungen bis 50.000 EUR genügt ein einfacher Verwendungsnachweis;lump;
73ac2b6906d2587a1c5cafe5a1feea75;Kurzzusammenfassung > Volltext;Die Höhe des Zuschusses beträgt normalerweise bis zu 40 Prozent der jährlichen Gesamtkosten. Diese dürfen höchstens EUR 150.000 betragen.;absolute;
5b257a66bca8392e3945e8f63b1af6d0;;;other;
fb40aaa441a686037d132bded1cb6c96;Kurzzusammenfassung > Volltext;Die Höhe des Zuschusses beträgt bei Vorhaben von landesweiter Bedeutung und bei Projekten in den Bereichen des Kinderschutzes, der Demokratiebildung und der Verbesserung der Beteiligung an der Gestaltung des Gemeinwesens bis zu 90 Prozent der zuwendungsfähigen Ausgaben.;share;
fb40aaa441a686037d132bded1cb6c96;Kurzzusammenfassung > Volltext;Die Höhe des Zuschusses für Vorhaben mit regionalem Bezug beträgt im 1. Jahr der Förderung bis zu 75 Prozent der zuwendungsfähigen Ausgaben und wird in der Kooperationsvereinbarung für die Folgejahre degressiv sinkend festgelegt.;share;
90b8c83dea493c4b60366d898d231366;;;other;
ee09f19050b2f909c05887cdf5ee820d;;;other;
e6def579f2f13e147df1921f5ab9ab57;Kurzzusammenfassung > Volltext;Die Höhe des Zuschusses beträgt bis zu 5.000 EUR je Zuwendungsempfängerin oder Zuwendungsempfänger und Jahr.;absolute;subsidy on yearly-basis not project-basis, max. project duration not indicated
67e0acac0b9837a91570ea83ea5b06c3;Kurzzusammenfassung > Volltext;Die Höhe des Zuschusses beträgt maximal 80 Prozent der zuwendungsfähigen Gesamtausgaben, maximal 50.000 EUR je Zuwendungsempfängerin oder Zuwendungsempfänger.;absolute;
9004f112d3f865010a2fa6ae3d8ac69d;;;other;
86d63cd63ca12e0ffd602839880e0f1d;Rechtsgrundlage > 5 Art und Umfang, Höhe der Zuwendung;Lokale Partnerschaften für Demokratie nach Nr. 2.1 können als Projektförderung im Wege der Anteilsfinanzierung als nicht rückzahlbarer Zuschuss mit höchstens bis 30% der als zuwendungsfähig anerkannten Ausgaben, jedoch max. bis 50.000 EUR pro Landkreis oder kreisfreier Stadt gefördert werden.;absolute;
7c6945a6ad13bab32155f20ba7e1d64b;;;other;further information given in linked document
87074b488a5ae7adec2374630ffac757;Kurzzusammenfassung > Volltext;Die Höhe beträgt pro Tag und Teilnehmende bis zu 50,00 EUR. Für die Veranstaltungsorganisation und die allgemeine Verwaltung erhalten Sie eine Organisationskostenpauschale von 300,00 EUR pro Tag, für mehrtägige Veranstaltungen bis maximal 1.000 EUR.;absolute;
a2e43b78f39bd894e22c12049685c8b5;;;;publication of program on EU-level
7b228e2288ba3580d0aaac6df450b7f2;;;;publication of program on EU-level
892750f7bab363532b99225c7886cd11;Kurzzusammenfassung > Volltext;Sie erhalten die Förderung als Zuschuss für einen Zeitraum von normalerweise bis zu 3 Jahren. Als Unternehmen der gewerblichen Wirtschaft und als Forschungseinrichtung mit einem wirtschaftlichen Vorhaben erhalten Sie meistens 40 Prozent Ihrer förderfähigen Kosten als Zuschuss. Als kleines oder mittleres Unternehmen (KMU) können Sie unter bestimmten Voraussetzungen einen Bonus erhalten. Hierfür müssen Sie die Kriterien der EU für KMU erfüllen. Als Hochschule oder außeruniversitäre Einrichtung können Sie bis zu 100 Prozent der zuwendungsfähigen Ausgaben erhalten. Wenn Sie als Hochschule oder Uniklinik ein nichtwirtschaftliches Forschungsvorhaben planen, können Sie zusätzlich zu Ihren zuwendungsfähigen Ausgaben eine Projektpauschale in Höhe von 20 Prozent erhalten.;share;depending of beneficiary type
6ffabc0b58132026bac43c0c2a98c7c1;Kurzzusammenfassung > Volltext;Die Höhe des Zuschusses beträgt maximal 90 Prozent der zuwendungsfähigen Ausgaben.;share


